temperature_0,temperature_1,package_0,package_1,preservative_0,preservative_1,sterilization_0,sterilization_1,target
0,1,0,1,0,1,0,1,1
0,1,0,1,0,2,0,1,1
0,1,0,1,0,2,0,1,1
0,1,0,1,0,2,0,1,2
0,1,0,1,0,2,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,3
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,3
0,1,0,2,0,1,0,1,3
0,1,0,1,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,2,0,1,1,0,0,1,2
0,2,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,1,1,0,1,2
1,0,1,0,0,1,0,1,1
1,0,1,0,0,1,0,2,4
1,0,1,0,0,1,1,0,4
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,1,0,0,1,0,1,3
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,3
0,1,1,0,0,1,1,1,3
0,1,1,0,0,1,0,2,4
0,1,1,0,0,1,0,2,4
0,1,0,1,0,1,0,1,1
0,1,0,2,0,2,0,1,3
0,1,0,2,0,1,0,1,2
1,0,1,0,0,1,0,1,1
1,0,1,0,0,1,0,2,2
1,0,1,0,0,1,0,2,3
1,0,1,0,0,1,0,2,3
0,1,1,0,0,1,0,1,4
0,1,1,0,0,1,0,1,2
0,2,1,0,0,1,0,1,1
0,1,0,1,0,2,0,1,1
0,1,0,1,0,1,0,1,1
1,0,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,2
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
1,0,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,1,1,0,1,2
0,1,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,1,1,3
0,1,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,1,2
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,1,1,0,1,2,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,1,2,0,2,4
0,1,1,0,0,1,0,2,4
0,1,1,0,1,2,0,2,5
0,1,1,0,0,1,0,2,5
0,1,1,0,0,1,1,1,3
0,1,1,0,0,1,0,2,4
0,1,1,0,0,1,0,2,4
0,1,1,0,0,1,0,1,2
0,1,1,0,1,2,0,1,2
0,1,1,0,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,1,0,1,2,0,1,2
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,2
0,1,1,0,0,1,0,1,3
0,2,0,1,0,1,0,1,1
0,2,0,1,0,2,0,1,2
0,2,0,1,0,2,0,1,2
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,2
0,2,1,0,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,2,0,2,1,0,0,1,1
0,2,1,0,0,1,0,1,1
1,0,1,0,0,1,0,2,2
1,0,1,0,0,1,0,2,3
1,0,1,0,0,1,0,2,3
1,0,1,0,1,1,0,1,3
1,0,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,1
0,2,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,1,0,1,1,1,1,4
0,1,1,0,0,1,1,1,1
0,2,1,0,1,1,1,0,3
0,2,1,0,0,1,1,0,2
0,1,1,0,0,1,0,1,2
0,1,0,1,0,1,0,1,1
0,1,0,1,1,1,0,1,2
0,1,0,1,1,2,0,1,1
0,1,0,1,0,2,0,1,2
0,1,0,1,0,1,0,1,1
1,0,1,0,0,1,1,0,4
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,1,1,0,1,1
0,2,1,0,1,1,1,0,3
0,2,1,0,0,1,1,0,2
0,1,0,1,0,2,0,1,2
0,1,0,1,0,2,0,1,1
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,0,2,1
1,0,1,0,0,1,0,2,4
1,0,1,0,0,1,0,2,5
0,1,1,0,0,1,0,2,5
0,1,1,0,0,1,0,1,4
0,1,0,2,1,1,0,1,1
0,1,0,2,1,1,1,0,3
0,2,0,2,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,0,2,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,5
0,2,0,2,1,0,0,1,1
0,2,0,2,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
1,0,1,0,1,2,0,2,1
1,0,1,0,0,1,0,2,2
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,3
0,1,0,2,0,1,0,1,4
0,1,1,0,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,1,0,0,1,1,1,1
0,1,1,0,0,1,0,2,1
0,1,1,0,0,1,0,2,1
0,1,1,0,1,2,1,1,3
0,1,1,0,1,2,0,2,5
0,1,1,0,0,1,0,1,2
0,2,1,0,0,1,0,1,1
0,1,1,0,1,2,0,1,3
0,2,1,0,1,2,0,1,3
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,2,2
0,1,1,0,0,1,0,1,3
0,1,0,1,1,2,0,1,2
0,1,0,1,0,1,0,1,1
0,1,0,1,1,2,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
1,0,1,0,0,1,1,1,3
0,2,1,0,0,1,1,1,5
0,1,1,0,0,1,1,1,5
0,1,1,0,1,2,0,1,2
0,1,1,0,0,1,0,1,2
0,1,1,0,0,1,0,1,4
0,1,1,0,0,1,0,1,4
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,1,4
0,1,0,1,0,1,0,1,1
0,1,0,1,0,2,0,1,3
0,1,0,1,0,2,0,1,3
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,1,2,0,1,3
0,1,0,1,1,2,0,1,3
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,1,2,0,1,2
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,2
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,2,1,0,0,1,1,1,3
0,2,1,0,0,1,1,0,3
0,2,1,0,0,1,0,1,2
0,2,1,0,1,1,1,0,4
0,1,1,0,1,1,1,0,5
1,0,1,0,0,1,0,2,3
0,2,1,0,0,1,1,1,2
0,2,1,0,0,1,1,0,2
0,2,1,0,0,1,0,1,1
0,2,0,1,0,1,0,1,1
0,2,1,0,1,2,1,1,4
0,2,1,0,0,1,0,1,2
0,1,0,1,0,2,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,1,1,0,1,5
0,1,1,0,0,1,0,1,4
1,0,1,0,1,1,1,0,5
1,0,1,0,0,2,1,0,1
1,0,1,0,1,2,1,0,1
1,0,1,0,0,1,1,0,1
0,2,1,0,0,1,0,2,1
0,1,1,0,0,1,0,2,3
0,2,1,0,1,2,0,1,2
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,1,1,2
0,2,1,0,0,1,1,0,2
0,2,1,0,1,2,1,1,4
0,2,1,0,1,2,0,1,3
0,2,1,0,0,1,0,1,1
0,2,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,3
0,1,1,0,0,1,0,1,3
0,2,0,1,0,1,0,1,1
0,2,1,0,1,2,1,1,1
0,2,1,0,0,1,1,1,1
0,2,1,0,0,1,0,1,1
0,2,1,0,1,2,0,1,1
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,2,1,0,0,1,1,0,2
0,2,1,0,1,2,1,0,2
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,3
0,1,1,0,0,1,0,1,3
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,2,3
0,1,0,2,0,1,0,2,4
0,1,0,2,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,1,2
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,2
0,1,0,2,0,1,0,1,3
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,1,0,0,2,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,2,0,1,0,1,1
1,0,1,0,0,1,0,1,2
1,0,1,0,0,1,0,2,4
0,2,1,0,0,1,1,1,5
0,2,1,0,1,1,1,1,5
0,2,1,0,1,1,1,1,5
0,2,1,0,1,1,1,1,5
0,1,1,0,0,1,1,1,5
0,1,1,0,0,1,1,1,5
0,2,1,0,0,1,1,1,5
0,2,1,0,0,1,1,1,4
0,2,1,0,0,1,1,1,2
0,1,1,0,0,1,0,2,5
0,1,1,0,0,1,0,2,5
0,1,1,0,0,1,0,1,2
0,1,0,2,0,1,0,1,3
0,1,1,0,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,2,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,2,0,2,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,2
0,2,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1
0,1,0,1,1,1,0,1,2
0,1,0,1,1,1,0,1,2
0,1,0,1,1,1,0,1,2
0,1,1,0,0,1,0,1,2
0,1,1,0,1,1,0,1,3
0,1,1,0,0,1,0,1,2
